id,subwayStationName,betweenness,trafficvolume,buslines
L0108,公主坟,25662,96459,206
L0109,军事博物馆,35737,96024,34
L0112,复兴门,41092,137967,69
L0113,西单,33526,131313,68.5
L0117,东单,43638,135824,30.5
L0118,建国门,49358,178476,32.5
L0120,国贸,38718,163669,113.5
L0122,四惠,15712,124170,117
L0123,四惠东,6120,116181,89.5
L0203,车公庄,40904,51849,41
L0204,西直门,47676,274357,61
L0206,鼓楼大街,38448,89622,45.5
L0208,雍和宫,35648,105093,74
L0209,东直门,36118,85789,15.5
L0211,朝阳门,42654,91323,22.5
L0214,崇文门,44757,92307,19.5
L0217,宣武门,35862,149904,53.5
L0407,海淀黄庄,17936,136764,411.5
L0410,国家图书馆,33613,138761,82.5
L0414,平安里,45872,92375,48
L0419,菜市口,37173,115949,104
L0423,角门西,22349,139414,411.5
L0501,宋家庄,30845,214658,199.5
L0505,磁器口,32012,115079,212
L0509,东四,38471,86120,22.5
L0515,惠新西街南口,27747,177268,84.5
L0520,立水桥,21475,79155,133
L0602,慈寿寺,25787,41603,151.5
L0604,白石桥南,34045,70398,50
L0609,南锣鼓巷,28362,57735,19
L0613,呼家楼,40301,181365,117
L0614,金台路,16702,85290,176.5
L0701,北京西站,32826,46165,95.5
L0801,朱辛庄,9527,32694,42
L0805,霍营,16310,40139,35.5
L0811,奥林匹克公园,24935,52005,88.5
L0813,北土城,19168,105664,65.5
L0901,郭公庄,10030,94192,85
L0906,七里庄,20097,23988,49
L0907,六里桥,29866,75678,37.5
L1005,知春路,35246,108745,59.5
L1012,芍药居,31732,82125,18.5
L1014,三元桥,28657,98675,71
L1037,西局,30745,26775,18
L1306,西二旗,17358,108295,9
L1312,望京西,27278,91172,4
L1414,望京,19633,43697,320.5
